Comments,Sentiments,Like,Haha,Angry,Love,Care,Sad,Wow
"খুবই সুন্দর লাগছে ❤️❤️
এ ছবিগুলো আবার নির্লজ্জ, বেহায়া বুবলি যেন কবে কপি করে আপলোড দেয়,,,",Positive ,0,0,0,0,0,0,0
ভিষণ  সুন্দর  হয়েছে  আপু,Positive ,0,0,0,0,0,0,0
আপু আপনার ঠিকানা নাম্বার দেন আপনার সাথে দেখা করতে চাই কিন্তু আপনার ঠিকানা নাম্বার টা কি করে পাবো বলেতে পারেন,Positive ,0,0,0,0,0,0,0
তুমি না থাকলে মেঘ করে যেত বৃষ্টি হতো না!🥰,Positive ,0,0,0,0,0,0,0
আপনাদের খুব সুন্দর লগতেছে আপু জয় সেরা ব্যাটসম্যান,Positive ,0,0,0,0,0,0,0
ভালোবাসার মানুষ ❤️🥰,Positive ,0,0,0,0,0,0,0
ঠিক ভাবী💖💝🌹🥰,Positive ,4,0,0,1,0,0,0
কেমেরা ম্যান কে দেখতে চাই,Positive ,0,0,0,0,0,0,0
ভাষা  হারিয়ে  ফেলেছি,Positive ,0,0,0,0,0,0,0
মাসাআল্লাাহ অনেক সুন্দর অপু জয়,Positive ,1,0,0,1,0,0,0
খুব সুন্দর একটা জায়গা,Positive ,1,0,0,1,0,0,0
"মাশাআল্লাহ জয়,আর অপু আপু আমার ভালোবাসার একটা মানুষ ❤️",Positive ,1,0,0,1,0,0,0
জয় আমার খুব প্রিয় দোয়া আর ভাল বাসা সব সময় জয় খুব ভাল থাকুক,Positive ,1,0,0,0,0,0,0
🖤💜❤️ভালোবাসি আপু তোমাকে 🥰,Positive ,1,0,0,1,0,0,0
আমার জীবন টা ও এমন অবস্থা অপু ম্যাম,Neutral ,0,0,0,0,0,0,0
এটা একটু বেশি ই  সুন্দর ❤️❤️,Positive ,1,0,0,1,0,0,0
কখন আবার জানি ডুবলী এটাও কপি করে,Negative ,0,0,0,0,0,0,0
আপু খুব ভালো লাগলো ভিডিও টি,Positive ,0,0,0,0,0,0,0
সাথে শাকিব খান থাকলে তো আর কোথায় ছিল না,Positive ,0,0,0,0,0,0,0
"আসলেই অপু বিশ্বাস অনেক সক্ত একজন নারী, ধন্যবাদ জানাই",Positive ,0,0,0,0,0,0,0
তোমাদের কে দেখলেই মন ভরে যাই♥️♥️♥️♥️♥️♥️,Positive ,0,0,0,0,0,0,0
অপু অনেক স্লিম হয়ে গেছে,Positive ,0,0,0,0,0,0,0
এবার বুবলির ভিডিওর অপেক্ষায়  আছি,Neutral ,0,0,0,0,0,0,0
অনেক অনেক অনেক অনেক অনেক সুন্দর লাগতেছিল জয় কে অপু বিশ্বাস কে খুব সুন্দর,Positive ,0,0,0,0,0,0,0
অনেক অনেক দোয়া ও শুভ কামনা ।জুনিয়র শাকিব এর জন্য ।,Positive ,0,0,0,0,0,0,0
বাবাটাকে ও তোমাকে অনেক ভালোবাসা। ভালো থাকো সব সময়। ❤️🥰❤️‍🩹💝💔🥰😍😘😘,Positive ,0,0,0,0,0,0,0
অনেক সুন্দর পোস্ট ভালো লাগলো ধন্যবাদ আপনাকে ♥️♥️♥️♥️🤲👏🥰👌,Positive ,0,0,0,0,0,0,0
তুমি না থাকলে এই ভালোবাসা সৃষ্টি হতোনা... 💗💗,Positive ,0,0,0,0,0,0,0
দোয়া করি তোমরা ভালো থাকো,Positive ,0,0,0,0,0,0,0
অসাধারণ একটা মোমেন্ট,Positive ,0,0,0,0,0,0,0
"সো বিউটিফুল কলিজার অপু আপু জয় তোমাদের দুই জনকে অনেক ভালো বাসি, মাঝে মধ্যে এমন সুন্দর পিক আমাদের উপহার দিও ❤️❤️",Positive ,0,0,0,0,0,0,0
"অপু,দিদি, তুমি এখন, জয়কে, নিয়ে,হিন্দু,মানায়,আর,সাকিবের,কাছে,ফিরবে,না",Positive ,1,0,0,0,0,0,0
কি যে ভালো লাগে তোমাদের দেখলে,Positive ,0,0,0,0,0,0,0
শাকিবের বাড়িতে যাইতেছেন?,Positive ,0,0,0,0,0,0,0
মনটা ভরে গেল❤️❤️❤️❤️,Positive ,0,0,0,0,0,0,0
জয় বাবা তুমি কেমন আছো তুমি অনেক ভালো থাক,Positive ,0,0,0,0,0,0,0
ছেলে কে সব পরিবেশ এর সাথে মানিয়ে চলার শিক্ষা দিয়ে সবার মন জয় করা আমাদের অপু দিদি.. উনার মাঝে কোন  অহংকার নেই.,Positive ,9,0,0,1,2,0,0
আপু আপনার জন্য অনেক দোয়া করি,Positive ,12,4,0,3,0,0,0
সবাই কে আমন্ত্রণ জানাই,Positive ,3,3,0,0,0,0,0
ওপারে ভালো থাকুক আমিও আমার মাকে হাড়িয়েছি এই মাসে সকল মায়ের মৃত্যুর আত্মার চির শান্তির কামনা করছি 😭,Negative ,6,0,0,2,1,5,0
আমাদের বগুড়ার  আপু আপনার জন্য ❤️❤️🤲🤲,Positive ,7,3,0,10,1,0,0
"যার হারায় হারানোর বেদনা শুধু সেই বুঝে,, আমিও আমার বাবাকে জানুয়ারি মাসে হারিয়েছি, তাই আমি বুঝি আপন জনকে হারানোর বেদনা টা কি 😭দোয়া করি আল্লাহ যেনো, সকল গুনাহ মাফ করে জান্নাতুল দান করে আমিন🤲",Negative ,8,0,0,1,0,2,0
মৃত ব্যক্তি দোয়া বা আশির্বাদ কিছুই  করতে পারে না,Neutral ,20,0,2,1,0,1,0
আপু ২৭ তারিখ জয়ের জন্মদিন তুমি দাওয়াত করবা না আমাদের,Neutral ,0,0,0,0,0,0,0
ভালোবাসা ভারত থেকে প্রিয় আপু 🇮🇳🇮🇳,Positive ,5,0,0,1,0,0,0
অনেক দোয়া আর শুভকামনা সবসময়।,Positive ,1,0,0,0,0,0,0
অভিনন্দন অপুদি❤️❤️,Positive ,2,0,0,1,0,0,0
"কালকে আমাদের কুমিল্লা কম্পানীগঞ্জ আসছেন আপনাকে দেখেছি খুব ভালো লেগেছে মাশাআল্লাহ, আপনার কথাগুলো ও অনেক ভালোলেগেছে",Positive ,3,0,0,1,0,0,0
অভিনন্দন আপু। অনেক অনেক দোয়া ও শুভকামনা রইল। ❤️❤️,Positive ,1,0,0,0,0,0,0
আমার প্রিয় আপু। অভিন্দন আপু।💓💓💓,Positive ,1,0,0,0,0,0,0
আপু আপনার ভালো  হক ❤❤❤❤,Positive ,0,0,0,0,0,0,0
অনেক অনেক শুভকামনা,Positive ,0,0,0,0,0,0,0
ওই দিকে বুবলি একটা পুরস্কার পাওয়ার পড় থেকে ইতিহাস করা শুরো করছে🤧,Negative ,1,2,0,0,0,0,0
সেই ছোটবেলা থেকে তোমাকে আমার অনেক ভালো লাগে অনেক ভালোবাসি তোমাকে আপু দোয়া করি তুমি আরো এগিয়ে যাও,Positive ,2,0,0,1,0,0,0
তোমার সম্মান ও আছে,Negative ,0,0,0,0,0,0,0
আপু তোমার জন্য অনেক অনেক ভালবাসা দোয়া রইলো,Positive ,0,0,0,0,0,0,0
সাইমন সাদিক এর সাথে আরো মুভি চাই,Positive ,0,0,0,0,0,0,0
অনেক অনেক ভালো বাসা দোয়া রইলো তোমার  আর জয়ের জন্য,Positive ,0,0,0,0,0,0,0
ম্যাডাম আপনাকে দেখার পরে অনেক ভালো লাগলো আমাদের এলাকায় বিগ ফ্যান 🥰🥰,Positive ,0,0,0,0,0,0,0
আনেক অনেক শুভকামনা রইলো আর অবিরাম ভালোবাসা সব সময়ই ❤️❤️💚💚,Positive ,0,0,0,0,0,0,0
আপু আপনি তো সিলেটে আসলেন তা কি উদ্বোধন করলেন।,Neutral ,0,0,0,0,0,0,0
এই ভাবেই এগিয়ে যাও তুমি অপু বিশ্বাস একদিন শাকিব বুঝবে সে কি হারাইছে,Positive ,0,0,0,0,0,0,0
সব সময়ে প্রিয় নিয়িকা র জন্য শুভ কামনা♥ বাবিসাস এর পরিবারে পক্ষথেকে,Positive ,0,0,0,0,0,0,0
"শাকিব তোমার মন বুঝলো না,আর এদিকে তোমাকে নিয়ে স্বপ্নে ঘর বান্দি আমি😎",Negative ,0,0,0,0,0,0,0
"নীরবতার অনেক ভাষা হয়, যে ভাষায় শতশত অলিখিত মহাকাব্য রচনা করা যায়।",Neutral ,12,2,0,0,1,0,0
ঠিক বলেছ কলিজার টুকরা আপু জোর করে অনেক কিছু করা যায় বাট সেটার ফল ভাল হয় না,Positive ,3,0,0,0,0,0,0
অনেক সুন্দর 💙💙💙,Positive ,2,0,0,0,0,0,0
ওলেএএএ বাবুটা,Positive ,5,1,0,3,0,0,0
আগামীর নায়ক,Positive ,9,0,0,3,2,0,0
আগামীর হিরো,Positive ,9,0,0,4,2,0,1
কি সুন্দর করে বলছে রে ভাই ❤️,Positive ,15,1,0,9,3,0,1
জয়ের জন্য এত গুলা ভালোবাসা ❤️❤️❤️❤️❤️,Positive ,5,0,0,3,2,0,1
কি সুন্দর করে পড়ছে🥰🥰,Positive ,0,0,0,0,0,0,0
কিউটের ডিব্বা একটা 😍😍😍,Positive ,0,0,0,0,0,0,0
দোয়া রইল 🥰,Positive ,1,0,0,1,2,0,0
আরে আপু ওটা শিখবো শেখ হাসিনা আপার কাছ থেকে,Positive ,0,0,0,0,0,0,0
শুভ কামনা নিরন্তর।,Positive ,0,0,0,0,0,0,0
মাশাল্লাহ্ ছোট্ট জয় কি কিউট 🥰❤,Positive ,0,0,0,0,0,0,0
"পরালেকা কটিন জিনিস না, কটিন হচ্ছে ফোন ছেড়ে পড়তে বসা!",Neutral ,5,1,0,2,1,0,0
"মাশাআল্লাহ....🥰একটু বেশি কিউট বাবাটা,
বই পুস্তক  চিরে চিটে কি যে অবস্থা গো😆🤣🤣🤣🤣",Positive ,0,0,0,0,0,0,0
পুরাই শাকিব খান মাশাআল্লাহ☺️,Positive ,3,0,0,1,0,0,0
"এই ছোট্ট আব্রাহাম খান জয় কে দেখলে, কার কার একটা লাভ দিতে মন চাই,,,হাত তুলো",Positive ,0,0,0,1,0,0,0
দোয়া করি আল্লাহ তোমাকে সুস্থ ও ভালো রাখুক,Positive ,0,0,0,0,1,0,0
"মাস আল্লাহ। 
আব্রাহাম কিউট ডিব্বা♥️♥️♥️",Positive ,5,0,0,2,0,0,0
জয় জয়োৎসব,Positive ,0,0,0,0,1,0,0
মাশা-আল্লাহ ভাতিজা তোমার জন্য অনেক অনেক দোয়া ও শুভকামনা রইলো❣️❣️,Positive ,0,0,0,0,1,0,0
এই ভিডিও টা যখন করার হয় তখন আবরারে বয়স কত ছিল ও,Neutral ,1,0,0,0,0,0,0
আপনার নামটা পরিবর্তন করার দরকার আন্টি 😊,Negative ,3,4,1,3,1,0,1
এইবার বুবলি আপলোড দিবে,Negative ,0,0,0,0,0,0,0
মাসাল্লাহ ওর জন্য অনেক দোয়া রইলো আপু,Positive ,4,0,0,3,1,0,0
ভালো থেক জয়।দোয়া ও ভালোবাসা রইল ❤❤,Positive ,2,0,0,1,0,0,0
"ওরে পাখিরে,,, ❤️",Positive ,5,0,0,1,0,0,0
একটা মাশা-আল্লাহ বাচ্চা হইছো তুমি ❤️🥹,Positive ,0,0,0,0,0,0,0
"বই গুলোর ১২ টা বাজিয়ে দিয়েছে,পড়তে পড়তে ছিড়ে ফেলছে খুবই হেসেছি মাশাআল্লাহ কিউট ছেলে",Positive ,1,0,0,1,0,0,0
সোনা টা,Positive ,6,0,0,1,0,0,0
বাচ্চাটাকে অনেক কিউট লাগে 😍🥰,Positive ,3,0,0,1,1,0,0
"মাশাল্লাহ 
কিউট জয়🖤",Positive ,0,0,0,1,0,0,0
বাচ্চাটা ছোট বেলায় তো ভালোই ছিলো। এখন যতদুর সম্ভব স্মার্ট ফোন বেশি বেশি বাচ্চার হাতে দেওয়ার কারনে বাচ্চাটা দিনে দিনে এ্যাবনরমাল হয়ে গেছে।,Negative ,1,0,0,0,0,0,0
"এতো ছোট বয়স এ কতোগুলো কবিতা শিখেছে,,আপনি এতো ব্যস্ত মানুষ হয়ে ও ছেলেকে অসাধারন শিক্ষা দিয়েছেন💗",Positive ,1,0,0,1,0,0,0
কি সুন্দর করে বইয়ের পাতাগুলো ছিড়েছে 😀😀 মাশাআল্লাহ খুব সুন্দর ভাবে পড়াশোনা করছে 💗💞,Positive ,0,0,0,0,0,0,0
ছোট কিং জয়🖤,Positive ,1,0,0,2,1,0,0
সহজে পাইলে মানুষ হীরাকে ও কয়লা ভাবে 😥,Positive ,0,0,0,0,0,0,0
এমন ভাবে বইয়ের দিকে তাকিয়ে পরে যেনো সে সব রিডিং দেখে দেখে পরতে পারে😁,Positive ,1,0,0,1,1,0,0
"আমার বাবু পাখি‌ টা জয় সোনা মিস্টি মামুজান 
   ❤️",Positive ,0,0,0,1,0,0,0
যতই দেখি ততোই ভালো লাগে ❤️❤️❤️❤️,Positive ,0,0,0,1,0,0,0
এতো কিউট ক্যান🥹🥹মাশাআল্লাহ❤️,Positive ,3,0,0,1,0,0,0
দোয়া করি বাবার মতো মানবিক হও,Positive ,0,0,2,0,0,0,0
একটা আদর বাচ্চা মাশাআল্লাহ ❤️❤️🤗,Positive ,0,0,0,0,0,0,0
এটা অনেক আগের পিক তাই না আপু,Neutral ,0,0,0,0,0,0,0
"আহ..!!!
কি মনোমুগ্ধকর কবিতা পাঠ...
আদো আদো ভাষা...দীর্ঘজীবী হোক বাবাটা...😍🥰",Positive ,0,0,0,1,0,0,0
আমাদের বাবাটা পরতাছে বা মাস আললা বাবা তুমি জন্য শুভকামনা রইল বাবা 😀🤲👌❤️❤️,Positive ,0,0,0,0,0,0,0
উজ্জ্বল ভবিষ্যত কামনা করি,Positive ,0,0,0,0,0,0,0
ছোট বাচ্চাদের মুখে ছড়া শুনতে খুব ভালো লাগে 🥰,Positive ,0,0,0,0,0,0,0
"আব্রাহাম,শেহ্জাদ দু জনেই কিউটের ডিব্বা। মাশাআল্লাহ।",Positive ,0,0,0,0,0,0,0
পড়তে পড়তে বই দেখি ছিরে ফেলছে 🤭,Positive ,0,0,0,0,0,0,0
"মাশাল্লাহ ,, কি আদর লাগে ❤️❤️😍😍",Positive ,0,0,0,0,0,0,0
দারুন মুহূর্ত,Positive ,0,0,0,1,0,0,0
জয় পরিপূর্ণ শিক্ষায় শিক্ষিত হোক❤️,Positive ,0,0,0,0,0,0,0
"মনে হচ্ছে, কয়েক বচ্ছর আগের ভিডিও। জিনিয়াস বেটা👌👍",Positive ,0,0,0,0,0,0,0
রহস্যের গন্ধ পাচ্ছি🥴🙆‍♀️,Negative ,6,3,0,1,0,0,0
সুন্দর ছিল ততটুকু দিয়েছি,Positive ,7,1,0,4,0,0,0
খুব সুন্দর লাগছে,Positive ,4,0,0,1,0,0,0
আমাগোর ভাবি🫣,Positive ,15,3,0,4,3,0,0
এত সুন্দর কেমনে কি 😱,Positive ,1,1,0,0,0,0,1
সুইট আপু মনি,Positive ,13,1,0,3,4,0,0
জনগণের ভাবি🥰,Positive ,2,0,0,0,0,0,1
সুন্দরী আপু 🥰,Positive ,3,0,0,1,1,0,0
"মাশাআল্লাহ, কি অপূর্ব ❤️",Positive ,5,1,0,4,0,0,0
আগের থেকে অনেকটা ফিট এখন।,Positive ,9,3,0,3,0,0,0
সুপার লুক....,Positive ,0,0,0,0,0,0,0
সুন্দর লাগছে,Positive ,0,0,0,1,0,0,0
মিষ্টি আপু,Positive ,3,0,0,2,0,0,0
"আমার প্রিয় মানুষ, প্রিয় একজন অভিনেত্রী আপনি❤️❤️❤️❤️",Positive ,8,0,0,2,1,0,0
স্বাস্থ আরো কমাতে হবে!,Neutral ,10,2,0,0,0,0,0
ঢালিওড কুইন নামে এমনি এমনি সবাই ❤️❤️,Positive ,1,1,0,2,0,0,0
খান সাহেবের কাছে যাচ্ছেন নাকি।।,Neutral ,0,1,0,0,0,0,0
"আই এম তো এক অবাক,,, এখনো এত সুন্দর লাগে কিভাবে,,, উপভোগ করুন জনগণ,,,",Positive ,5,0,0,1,1,0,0
আমার স্বপ্নে দেখা নায়িকা। আমি যার ভক্ত। কিন্তু কখনো তার সঙ্গে দেখা করতে পারবো না তাই আফসোস আমার 🔴👈,Positive ,1,0,0,0,0,0,0
জাতির ক্রাশ,Positive ,7,0,0,1,1,0,3
অপু সবসময়ই সেরা 💗,Positive ,0,0,0,0,0,0,0
শাকিব ভাইয়ার ক্রাস🙄,Positive ,23,9,0,12,2,0,0
বার্তালাপ   কোরতে   পারো    আমার   সাথে    মেসেঞ্জার এ,Positive ,0,0,0,0,0,0,0
অপু তুমি কি বোকা না চালাক????কিন্তু আমি জানি তুমি অনেক ভালো একটা মেয়ে …😍😘,Positive ,0,0,0,0,0,0,0
"শাকিব কে আমেরিকায় নিয়ে গিয়ে লোডিং করা হচ্ছে। 
দেশে কোন জায়গা নাই লোডিং করানুর জন্য 
হোটেল গাড়ি এগুলো তে লোডিং করেন",Negative ,1,0,0,0,0,0,0
এত সুন্দর কে এত সুন্দর কিসের জন্য ❤️🥰,Positive ,6,0,0,1,1,0,0
ওয়াও লাগতাছে ভাবি 🤣,Positive ,5,0,0,1,0,0,0
অপু বিশ্বাস আপু আপনার সাথে দাঁড়িয়ে একটা ছবি উঠিয়ে ফেসবুকে পোস্ট করতে পারলে আমার আশা পূরণ হইত,Positive ,1,0,0,0,0,0,0
অপু আপুকে খুব সুন্দর লাগছে,Positive ,6,0,0,1,0,0,0
কি ব্যাপার দিন দিন অপু আপুর এত রুপ কোথায় থাকি আসে_,Positive ,0,0,0,0,0,0,0
নজর যেন না লাগে,Positive ,5,0,0,2,1,0,0
স্লিম হইসে এখন মায়া লাগে। 😊,Positive ,5,2,0,2,1,0,0
প্রেমে পড়ে গেলাম 😄,Positive ,5,0,0,1,0,0,0
সেই  সুন্দর পিক,Positive ,0,0,0,0,0,0,0
অপু কে আমার মোটেই ভালো লাগে না,Negative ,0,0,0,0,0,0,0
সব সময় দোয়া করি 🤲স্বামী সন্তান সংসার নিয়ে সুখে থাকেন 🖤🖤🖤,Positive ,2,0,0,2,0,0,0
সত্যিই খুব সুন্দর লাগছে আমাদের বিউটি কুইন আপুকে,Positive ,4,0,0,1,0,0,0
"আপু স্লিম হও,আগের মত লাগবে।",Neutral ,0,0,0,0,0,0,0
ড্রাইভার গাড়ি ঘোরাও আমরা ভুল পথে আসছি 🙂,Negative ,0,0,0,0,0,0,0
আপু লুকটা অসাধারণ,Positive ,1,0,0,0,0,0,0
ভাবি কি অবস্থা,Positive ,6,1,0,1,1,0,0
আপু তোমার সাইজ কত আমার সাইজ ৩৪,Negative ,0,0,0,0,0,0,0
দিন দিন দেখি আরো বেশি সুন্দরী হইতাছো 🥰,Positive ,1,0,0,0,0,0,0
ও মায়া মায়া গো এটা কারে দেখলাম ❤️❤️❤️,Positive ,1,0,0,0,0,0,0
আপনার এই সব ছবি দিয়ে সাধারণ জনগণকে কি শিক্ষা দেন।প্রত্যেকের ভাবা উচিত আমরা যা কিছু পোস্ট করি তা থেকে মানুষ যাতে কিছু শিখে।,Positive ,1,0,0,0,0,0,0
অসাধারণ লাগছে ঢাকার কুইনকে।,Positive ,1,0,0,0,0,0,0
এতো কিউট হবার রহস্য কি??☺️,Positive ,3,0,0,1,0,0,0
তোমার পর কাউকে আর ভালো লাগেনি.!💔🌸,Positive ,0,1,0,0,1,0,0
অসাধারণ এ হাসি অটুট থাকুক সব সময়,Positive ,0,0,0,0,0,0,0
মানুষ এত্ত সুন্দর হয় ক্যামনে👀,Positive ,0,0,0,0,0,0,0
"অপুনি তুমি আরও স্লিম হও সুন্দর লাগবে, ফিটনেস ধরে রাখাটা নায়িকার দায়িত্ব, নায়িকা মানেই তো রুপে গুণে ফিটনেসে অতুলনীয় তবেই না তাকে নায়িকা ভাবা যায়,",Positive ,2,0,0,3,0,0,0
শাকিবের বউ❤️অপু ভাবি,Positive ,1,0,0,0,0,0,0
আপু তোমাকে এমনে ভালো লাগে এত মেকাপ কোরো না,Negative ,1,0,0,0,0,0,0
মুরব্বি ভাবি🤣,Positive ,0,0,0,0,0,0,0
আর ভাবি সেরা,Positive ,0,1,0,1,0,0,0
"আফটার সেই লুকিং ,জন্ম তোমার জন্য মুভির দৃশ্য, সত্যিই অসাধারণ %%%%%",Positive ,0,0,0,1,0,0,0
সারা দিনের ক্লান্তি ভুলে যাই হেতির হাসি দেখলে 😊,Positive ,0,0,0,0,0,0,0
এতো এতো কমেন্ট এ আমার টা দেকবেন কি না জানিনা😟কিনতু প্লিজ এলটা রিপলাই দেন আমাকে🙏🙏,Positive ,0,0,0,0,0,0,0
আমার ভালোবাসার আপু ❤️❤️❤️,Positive ,0,0,0,0,0,0,0
জোস লাগতাছে,Positive ,0,0,0,0,0,0,0
ভাবি কি ব্যাপার😁,Positive ,1,1,0,1,0,0,0
তুমি ত্ব এতো সুন্দর নাহ্ ☺️,Positive ,0,0,0,0,0,0,0
এত সুখ ক্যা জামাই পাইয়া খুব সুখ দেখি😄😄,Positive ,1,0,0,0,0,0,0
"জয় এর আরেক টা ভাই/বোন দেখতে চায়,ঘুরে ত আসলেন খান সাহেবকে নিয়ে",Positive ,0,0,0,0,0,0,0
কনে ছিলো এই পরী,Positive ,3,1,0,2,0,0,0
যতই দেখি ততই ভালো লাগে 🤣🙏,Positive ,1,0,0,0,0,0,0
খুব ভালো লাগলো,Positive ,0,0,0,0,0,0,0
আমার প্রিয় জুটি,Positive ,0,0,0,0,0,0,0
আপনার সাথে কথা বলতে চাই,Positive ,4,0,0,0,0,0,0
আপু আপনি যে এত কিউট স্বপ্নেও ভুলতে পারি না,Positive ,0,0,0,0,0,0,0
দারুণ লাগছে আপু তোমায় 🥰🥰🥰,Positive ,0,0,0,0,0,0,0
আমার স্মৃতির পাতায় ফুলেরা এভাবেই রাঙায়🌸💙,Positive ,0,0,0,0,0,0,0
লাবিউ গুলুমুলু আপু🥰😘,Positive ,0,0,0,0,0,0,0
তুমিও সুন্দরি কিন্তু বুবলি বেশি সুন্দরি,Positive ,0,0,0,0,0,0,0
শাকিব খান আর অপু বিশ্বাস সেরা জুটি,Positive ,2,0,0,0,0,0,0
যৌবনের প্রথম ভালোবাসা অপু বিশ্বাস,Positive ,0,0,0,0,0,0,0
"কে এটা বাংলাদেশি নাইকা আপু 
বিশ্বাস এর মতো মনে হচ্ছে",Positive ,1,0,0,0,0,0,0
অপুর সাথে একরাত কাটাতে কত টাকা লাগবে!,Negative ,0,0,0,0,0,0,0
সার্জারির আগেই বেশি কিউট ছিল,Negative ,0,0,0,0,0,0,0
অপু বিশ্বাস আমি এমপি হতে পাড়ি ইনশাআল্লাহ,Positive ,0,0,0,0,0,0,0
আমি খুব সাধারণ একটা মেয়ে আমার অনেক আশা একবার আপনাকে দেখার কিন্তু আমার সেই সামর্থ্য নেই আমি একটা গ্রামের মেয়ে  সাধ্য নাই  আপনাকে দেখার,Positive ,0,0,0,0,0,0,0
কোটি কোটি মানুষের ভক্ত  আমাদের  ভালোবাসার অপু বিশ্বাস আপুটা,Positive ,0,0,0,0,0,0,0
আপনি কি সাকিবের সাথে একত্রিত মুসলিম?,Neutral ,0,0,0,0,0,0,0
ও  আমার সুন্দরী তোমাকে নিয়ে ❤️,Positive ,0,0,0,0,0,0,0
